Key;PET::Histogram::ih.entropy;PET::GLCM::cm.sum.avg;PET::Histogram::ih.qcod;PET::IVHistogram::ivh.I10minusI90;PET::NGTDM::ngt.busyness;PET::Intensity::stat.medad;PET::GLSZM::szm.lgze;PET::GLSZM::szm.lzhge;PET::Histogram::ih.mode;PET::Intensity::stat.max;PET::GLSZM::szm.sze;PET::GLDZM::dzm.zd.entr;PET::GLSZM::szm.szhge;PET::Histogram::ih.min.grad;PET::GLCM::cm.dissimilarity;PET::GLDZM::dzm.sdhge;PET::GLDZM::dzm.lgze;PET::Intensity::loc.peak.global;PET::Intensity::stat.energy;PET::GLRLM::rlm.srhge;PET::NGLDM::ngl.glnu.norm;PET::NGLDM::ngl.hdlge;PET::GLRLM::rlm.rlnu.norm;PET::GLDZM::dzm.zdnu;PET::NGLDM::ngl.lde;PET::GLSZM::szm.lze;PET::NGLDM::ngl.glnu;PET::NGLDM::ngl.dc.var;PET::GLRLM::rlm.glnu.norm;PET::GLRLM::rlm.glnu;PET::Histogram::ih.kurt;PET::GLRLM::rlm.lre;PET::Intensity::stat.P90;PET::GLSZM::szm.z.perc;PET::IVHistogram::ivh.I90;PET::GLDZM::dzm.lde;PET::GLDZM::dzm.ldlge;PET::GLCM::cm.contrast;PET::Histogram::ih.cov;PET::GLCM::cm.auto.corr;PET::GLRLM::rlm.rl.entr;PET::Histogram::ih.medad;PET::Intensity::stat.median;PET::GLCM::cm.energy;PET::GLRLM::rlm.rl.var;PET::NGLDM::ngl.hde;PET::GLSZM::szm.zs.entr;PET::GLCM::cm.inv.diff.mom;PET::IVHistogram::ivh.V10;PET::GLRLM::rlm.lgre;PET::GLCM::cm.inv.diff.norm;PET::NGLDM::ngl.hdhge;PET::GLRLM::rlm.srlge;PET::GLRLM::rlm.sre;PET::GLCM::cm.clust.prom;PET::GLCM::cm.joint.entr;PET::GLSZM::szm.szlge;PET::GLCM::cm.info.corr.2;PET::GLRLM::rlm.rlnu;PET::Histogram::ih.max;PET::GLCM::cm.inv.diff.mom.norm;PET::NGTDM::ntg.complexity;PET::Histogram::ih.skew;PET::Intensity::stat.var;PET::GLCM::cm.clust.shade;PET::GLSZM::szm.zs.var;PET::Morphological::morph.area;PET::GLSZM::szm.lzlge;PET::NGLDM::ngl.dc.entr;PET::Morphological::morph.approx.vol;PET::Morphological::morph.vol;PET::Intensity::stat.qcod;PET::Intensity::stat.rms;PET::Intensity::stat.range;PET::GLCM::cm.diff.entr;PET::GLCM::cm.sum.var;PET::Morphological::morph.a.dens.aabb;PET::Intensity::stat.sum;PET::GLSZM::szm.glnu;PET::Intensity::loc.peak.local;PET::GLRLM::rlm.gl.var;PET::NGTDM::ngt.strength;PET::Histogram::ih.min;PET::Morphological::morph.asphericity;PET::GLSZM::szm.glnu.norm;PET::GLDZM::dzm.zd.var;PET::Morphological::morph.sphericity;PET::GLSZM::szm.zsnu;PET::IVHistogram::ivh.I10;PET::Intensity::stat.rmad;PET::Intensity::stat.iqr;PET::Histogram::ih.mad;PET::GLSZM::szm.gl.var;PET::GLCM::cm.diff.avg;PET::GLCM::cm.sum.entr;PET::Intensity::stat.skew;PET::GLCM::cm.inv.diff;PET::GLDZM::dzm.gl.var;PET::Intensity::stat.kurt;PET::Histogram::ih.rmad;PET::Histogram::ih.var;PET::GLDZM::dzm.sde;PET::NGLDM::ngl.gl.var;PET::Intensity::stat.P10;PET::Intensity::stat.mean;PET::Histogram::ih.median;PET::GLRLM::rlm.hgre;PET::Histogram::ih.max.grad;PET::Morphological::morph.com;PET::Morphological::morph.v.dens.aabb;PET::GLRLM::rlm.lrlge;PET::GLDZM::dzm.zdnu.norm;PET::GLDZM::dzm.z.perc;PET::GLRLM::rlm.lrhge;PET::IVHistogram::ivh.V90;PET::GLSZM::szm.zsnu.norm;PET::GLSZM::szm.hgze;PET::GLDZM::dzm.ldhge;PET::Intensity::stat.cov;PET::GLCM::cm.info.corr.1;PET::GLDZM::dzm.hgze;PET::Histogram::ih.mean;PET::Morphological::morph.av;PET::GLDZM::dzm.glnu.norm;PET::Morphological::morph.comp.1;PET::Morphological::morph.sph.dispr;PET::Intensity::stat.mad;PET::NGLDM::ngl.dc.energy;PET::GLRLM::rlm.r.perc;PET::NGLDM::ngl.lgce;PET::GLCM::cm.joint.avg;PET::GLCM::cm.corr;PET::Histogram::ih.min.grad.gl;PET::IVHistogram::ivh.V10minusV90;PET::GLCM::cm.diff.var;PET::Morphological::morph.comp.2;PET::NGLDM::ngl.hgce;PET::NGTDM::ngt.contrast;PET::GLDZM::dzm.glnu;PET::NGTDM::ngt.coarseness;PET::GLCM::cm.inv.var;PET::NGLDM::ngl.ldhge;PET::GLDZM::dzm.sdlge;PET::Histogram::ih.max.grad.gl;PET::NGLDM::ngl.ldlge;PET::Intensity::stat.min;PET::Histogram::ih.uniformity;PET::GLCM::cm.joint.var;PET::GLCM::cm.joint.max
1;5.179325836;47.62334615;3.896934411;25.40000038;0.188320262;1.109941393;0.007139887;64792.38121;0.269874066;3.187453747;0.427660596;10.13955135;284.5395491;-53.5;3.611739964;216.2213881;0.002274527;2.669454944;11625.21023;857.5950468;0.000189536;0.002027338;0.999886502;254.9574468;0.998893397;120.4539007;1.027665068;0.001473293;0.000189517;13.35750972;0.796155879;1.000170256;2.105055332;0.208041313;16.74748141;10.78102837;0.011018372;28.37735568;0.422417088;648.0774503;12.37757134;7.159996858;0.269874066;0.002936115;5.67E-05;1.004426411;7.975443469;0.294715695;0.97713021;0.002021244;0.957744848;861.4757872;0.002021185;0.999957436;450237.1611;9.341206869;0.003421902;0.936735914;70474.00045;63.46300888;0.995481573;2878.327683;0.835665861;0.24019086;5411.754129;97.34917156;7172.004887;0.352713443;12.37717397;43376;43197.66667;0.195725015;1.464268269;2.917579681;3.423556953;352.7040669;0.742136267;7481.359422;30.64361702;2.574131927;96.07946045;4.730034818;5.373260498;0.204618679;0.027166327;3.16479852;0.830138215;219.3953901;42.14748179;0.227151955;0.518546224;21.57924027;118.7057343;3.611739964;6.134808072;0.838435925;0.374875767;120.9510175;0.797259984;0.227151955;94.0569736;0.448484168;96.07634121;0.83731854;1.37981546;26.11045066;857.6320026;40;0.334839957;0.701260823;0.00202148;0.226026105;0.208041313;857.7798259;0.004795278;0.194499459;660.1755319;15481.13544;0.355187139;-0.202044924;899.4632912;22.95905573;0.166027599;0.000886525;0.040125872;1.204618679;0.365803199;0.000189536;0.999943251;0.002021208;23.81167307;0.851069331;28.37326199;0.972334932;15.33269016;0.572072697;857.6325995;0.108498197;1;0.003312445;0.288503264;856.6718026;0.001605843;23.37325998;0.002019675;0.269874066;0.035282232;95.27035563;0.011462552
17;4.833520882;59.21284859;3.368693894;17.00000025;0.637154439;1.411497605;0.002304507;4531085.098;-0.225676745;3.327984571;0.401994266;11.63637976;375.4822969;-315.5;2.319859863;128.8614445;0.017839296;2.999557875;48807.59356;619.0946762;3.85E-05;1.609271123;0.999917061;652.2982126;0.999191349;5097.023518;1.214815754;0.001077039;3.85E-05;15.79082759;3.409738175;1.000124413;1.605309963;0.10112894;15.13646546;20.87613672;0.037679673;11.19841378;0.257588242;925.6001119;14.74127983;5.380942857;-0.225676745;0.005585135;4.15E-05;1.003234604;8.358766133;0.388362728;0.998985222;1.609331311;0.975759597;620.9694244;1.609331248;0.999968897;287095.8984;8.393279395;0.001164466;0.955015614;409891.0014;66.50617218;0.998660071;2870.725226;0.988902642;0.141605687;3313.496881;4999.243533;29948.21834;5.939114846;14.74141884;252272;251992.3333;0.16857023;1.24409678;3.553661317;2.864418874;207.4373246;0.780389263;37393.67499;98.00783945;2.969700608;56.64372549;1.975777894;-4.509905815;0.552251117;0.030733095;8.847920803;0.64422566;563.7061775;32.13646571;0.166384468;0.39243412;27.86843812;118.6332056;2.319859863;5.760221501;0.993186755;0.457912144;119.935266;3.43278865;0.166384468;56.01078721;0.448636977;56.64227312;0.756077528;1.18582086;23.29598298;619.1125493;304;1.221598016;0.493081645;1.609331562;0.204546319;0.10112894;619.1840416;0.002536944;0.176765813;922.5841957;30486.24196;0.317337402;-0.253001629;649.9123433;29.05425898;0.118845752;0.000316921;0.027431901;1.552251117;0.269910059;3.85E-05;0.999958531;1.60926458;29.6064243;0.897560995;25.49009307;0.996448278;5.816663847;0.26737085;619.1107009;0.027286697;1.010661649;0.000679835;0.352402981;618.64602;0.016755478;20.49009434;1.609262944;-0.225676745;0.045432904;54.65893459;0.017485809
22;3.546469157;24.54620571;1.809277238;7.700000115;1.210283159;0.565153927;0.023698111;3163573.283;0.564872682;1.478129864;0.329338307;8.124121312;36.40792368;-409;1.285472904;348.1497519;0.002670985;1.359954332;11338.75068;519.7566301;0.000118881;0.002087543;0.999964738;186.0250896;0.9996562;18476.70968;1.037359615;0.00045819;0.000118876;13.48478437;0.047371971;1.000052893;1.305571437;0.031973413;18.44745358;3.043010753;0.006046955;3.264937171;0.24441277;157.1833125;13.05459253;2.370507101;0.564872682;0.019771697;1.76E-05;1.001375201;6.938166874;0.52873543;0.997707999;0.002085539;0.968247707;520.7072503;0.00208552;0.999986777;2722.764851;6.247669785;0.007577894;0.883363487;113432.0001;29.35775566;0.997762168;113.6529697;-0.585456892;0.022461211;-98.33501498;17498.52239;11874.72158;116.059923;13.0547743;69808;69513.66667;0.091095065;1.139921641;0.913257182;2.141048747;29.48197902;0.69039079;9860.612189;19.75268817;1.35610277;8.984423452;0.258357075;11.21917248;0.452420979;0.070798165;1.058850734;0.688505615;33.43727599;26.14745369;0.085198986;0.207471371;10.94790138;16.61787489;1.285472904;4.422332557;-0.599158356;0.57373023;16.76208998;0.057814917;0.085198986;8.714303019;0.838776851;8.984484179;0.920531213;1.130026609;22.87320781;519.7656565;201.5;0.359589342;0.462979984;0.002085617;0.666756594;0.031973413;519.801762;0.015585606;0.119846867;118.562724;1794.868213;0.132625769;-0.216349498;440.5491793;12.07792799;0.170825712;0.003584229;0.030308197;1.452420979;0.120548551;0.000118829;0.999982369;0.002085528;12.27310285;0.800595748;26.21917392;0.982122393;1.612496602;0.32637919;519.7685237;0.037126946;1;0.001787846;0.441521864;519.533842;0.002353724;22.21917333;0.002085025;0.564872682;0.099176712;8.186729047;0.046906218
32;4.190582677;34.28245759;2.745169016;12.40000018;1.067947166;0.813619388;0.010817552;2721258.161;0.343542963;1.787136316;0.327070177;9.650360501;70.8021208;-250;1.780227231;279.7597583;0.003092135;1.549904606;18966.50059;558.0743732;8.04E-05;0.002219461;0.999966048;382.7639752;0.999668972;7567.724224;1.093276445;0.000441176;8.04E-05;14.21196928;-0.208809404;1.000050928;1.435457587;0.059217302;16.3208593;5.602484472;0.011273053;6.113087442;0.274389119;310.5631227;13.64152067;3.723222667;0.343542963;0.009459408;1.70E-05;1.001324114;7.66232303;0.444416983;0.998308077;0.002217363;0.965333393;558.9560557;0.002217343;0.999987268;15417.79958;7.352856199;0.004294175;0.918945859;176713.0001;35.10507965;0.997377557;346.5268977;-0.498845703;0.056186458;-330.4964559;7282.554787;14927.87879;22.63632448;13.64140286;108752;108468.6667;0.139751604;1.181190571;1.443593353;2.525021044;73.07871684;0.717410553;15730.46501;42.12795031;1.542179683;22.47474534;0.400887554;6.748283863;0.357201844;0.052332858;2.286013657;0.73681008;103.3950311;28.72085949;0.136297532;0.325596571;15.65819728;30.08566904;1.780227231;5.08048566;-0.500462587;0.50525644;31.33212431;-0.209012556;0.136297532;21.2885504;0.71445698;22.47458243;0.814057171;1.157162352;23.47890804;558.0827542;152.5;0.288445701;0.593581268;0.002217444;0.475483199;0.059217302;558.1162781;0.004928645;0.128441032;230.5279503;3485.603354;0.20484319;-0.224652537;447.9355805;16.81535963;0.13762388;0.001248409;0.033553066;1.357201844;0.19203471;8.04E-05;0.999983024;0.002217352;17.14122879;0.845613129;26.74828534;0.993379432;2.943878546;0.400006157;558.0844497;0.052220923;1.004968944;0.001293923;0.393614481;557.8665482;0.002494317;22.74828447;0.002216825;0.343542963;0.063567851;19.79795107;0.027225627
45;4.959035249;50.70221063;3.845068826;21.05000031;0.367075292;1.202887423;0.005849791;598582.5591;-0.046540555;2.439317465;0.472308023;10.57043858;216.2021733;-132;2.801160183;142.9434143;0.02506729;2.171909884;15042.21587;599.3968427;0.000105735;0.444526637;0.999954021;394.1051248;0.999551704;830.1143233;1.061366806;0.000597371;0.000105731;13.7969132;0.330258278;1.00006897;1.620396733;0.151623829;11.3691891;8.966491459;0.040654898;15.88799835;0.320765589;693.8140329;13.23296996;6.03810992;-0.046540555;0.00422243;2.30E-05;1.001793186;7.625403248;0.339200291;0.989340506;0.444533928;0.962385174;600.6497722;0.444533901;0.999982757;169406.3718;8.754879322;0.00237301;0.942062709;130485.0001;48.28449631;0.996727846;1430.039507;-0.177265589;0.161389103;-493.8319968;786.6167255;12333.94759;1.305301856;13.23280974;80304;80068.66667;0.194251656;1.224143449;2.485858019;3.095123061;220.4300336;0.687971196;11607.40986;51.90932983;2.1651667;64.55658656;1.892590143;-0.921236098;0.372912661;0.034105999;2.899106145;0.728378453;339.9947438;32.41918942;0.199252428;0.452499986;23.48093152;73.02655488;2.801160183;5.875108864;-0.177844125;0.415882856;75.31514328;0.323534156;0.199252428;62.45410756;0.505362084;64.55563943;0.568103969;1.156346868;23.67299945;599.4087556;73.5;0.827055093;0.490328402;0.444534039;0.258938978;0.151623829;599.4564074;0.007571229;0.223386822;509.7871222;7097.443997;0.347415328;-0.221854202;448.5621198;24.63727839;0.154042125;0.000661347;0.032978774;1.372912661;0.306918465;0.000105735;0.99997701;0.444523771;25.35110531;0.865537147;27.07876325;0.981769277;8.041500181;0.386430387;599.4108555;0.072760598;1.006570302;0.002085679;0.321279419;599.1011263;0.023615244;17.07876354;0.444523054;-0.046540555;0.040196189;59.079508;0.016830163
52;5.377286948;65.29870121;4.587891785;28.45000042;0.204696355;1.543617903;0.002909199;72311.12013;0.165141299;3.185899734;0.440523789;10.56246181;479.7648632;-53.5;4.044669906;335.8494341;0.00187235;2.714007292;19319.46698;1219.258671;0.000162508;0.001507941;0.999975726;358.9405941;0.999763332;63.62508251;1.029977911;0.000315457;0.000162505;13.38925637;-0.445780298;1.000036411;2.47481823;0.239034396;21.09763652;8.582178218;0.007029192;32.63603707;0.342307859;1163.847244;12.59991898;8.717459559;0.114881814;0.001955429;1.21E-05;1.000946671;8.062007125;0.271588038;0.993057747;0.00150737;0.954440689;1220.818206;0.001507364;0.999990897;444761.8284;9.6976416;0.001265722;0.937184762;82391.00002;63.38902283;0.995142705;3075.005121;0.28048559;0.297574806;1902.210014;46.12342544;8314.567533;0.086845715;12.59983403;50704;50509.33333;0.230585082;1.745908393;3.071017921;3.583632129;424.1047556;0.799477647;10511.5712;36.89438944;2.609821344;119.0307429;3.682257053;2.285773754;0.25827176;0.024352732;2.370074394;0.794740875;318.1986799;49.54763694;0.320736811;0.768718243;29.86579802;130.1365497;4.044669906;6.328648578;0.281290618;0.353660199;132.752645;-0.447169539;0.320736811;116.4460016;0.460470791;119.029919;1.052563548;1.658499716;31.00870745;1219.273477;46;0.321346905;0.751626984;0.001507392;0.236924485;0.239034396;1219.3327;0.006468918;0.210032132;1095.684488;15154.65063;0.328914242;-0.195922236;1202.33424;31.52429774;0.164614478;0.00066268;0.03758696;1.25827176;0.445577482;0.000162508;0.999987863;0.001507359;32.6493506;0.857091648;29.28577168;0.986588829;16.27668289;0.501968715;1219.27841;0.141482557;1.003960396;0.002761483;0.256954202;1218.893461;0.00142081;21.28577405;0.001507214;0.114881814;0.028544412;114.1851982;0.008270667
56;6.191262277;107.6406027;5.70683002;47.3000007;0.087744729;2.568437623;0.000882179;69296.92572;-0.249339968;5.202168465;0.554199777;12.11095901;1769.871897;-30;5.738266579;395.3224222;0.143433286;4.535641967;70992.74159;2397.387171;8.81E-05;0.058717387;0.999961035;726.9796794;0.999620093;23.00767668;1.043224989;0.000506286;8.81E-05;13.56119546;-0.133851921;1.000058448;3.518382072;0.373913043;23.11296727;15.13389027;0.148509424;61.00131022;0.350993968;3189.437207;13.48921705;14.84398163;-0.299351662;0.00072893;1.95E-05;1.001519629;8.452814779;0.192643246;0.997636133;0.058717074;0.959107791;2399.641497;0.05871706;0.999985388;4360341.974;11.03921172;0.000603376;0.962891931;153976.0001;104.019043;0.99644706;11649.4029;0.403305951;0.844726453;15604.00307;15.85516211;11685.88315;0.011540684;13.48908094;94760;94534.66667;0.285408239;2.448157991;5.501520127;4.038789281;1232.250798;0.838539262;26877.32321;64.11989162;4.464746677;337.8929739;10.196501;-5.985633373;0.164438842;0.014477284;4.362333664;0.858782758;1326.607135;70.41296798;0.526950834;1.27082026;49.88912441;384.7133043;5.738266579;7.1435057;0.403717665;0.279922509;387.5688422;-0.133650369;0.526950834;335.154202;0.331411162;337.890571;1.155258417;2.269085961;44.02160997;2397.408811;40.5;0.242104341;0.866336755;0.05871713;0.164140826;0.373913043;2397.495372;0.009793162;0.299527463;3166.757733;60703.05226;0.405048565;-0.212123238;2501.613602;52.15821037;0.123614792;0.000228537;0.042220547;1.164438842;0.74407956;8.81E-05;0.999980518;0.058715945;53.82030135;0.905662152;38.01436613;0.987842972;28.07360692;0.633359005;2397.390949;0.138870013;1.012192368;0.002452093;0.187874367;2396.828312;0.14304207;28.01436374;0.058715585;-0.299351662;0.015787893;323.3130272;0.003520379
63;5.575391039;68.08013545;4.986107929;32.15000048;0.355300562;1.611888052;0.002985902;200690.0518;-0.00954126;3.295340061;0.458267581;11.76091087;498.4351616;-87.5;3.669963505;190.9487808;0.013796096;3.012138944;48186.72093;1177.922496;6.60E-05;0.006525965;0.999962392;618.8636364;0.999633319;173.2102992;1.079325307;0.000488669;6.60E-05;14.03053381;-0.237141975;1.000056414;2.496949911;0.212430483;17.80917507;13.35040276;0.02456209;27.44915534;0.369738862;1290.570405;13.92064529;9.614924745;-0.00954126;0.001875451;1.88E-05;1.001466724;8.330001649;0.283356598;0.992421928;0.00652455;0.960617381;1179.862568;0.006524536;0.999985897;837780.5526;9.805085724;0.001505391;0.963957299;212707.0002;65.83207703;0.996371071;2946.359633;0.360640457;0.377343337;4536.127824;151.0504752;16570.83923;0.207611619;13.92051457;130904;130598.6667;0.249588386;1.716059025;3.304881321;3.449953631;554.8258596;0.727301581;26219.20056;78.96662831;2.934122772;150.9380936;2.318397762;-0.190608844;0.331173154;0.022717672;3.564089313;0.751217073;761.0558113;49.95917555;0.33755148;0.79885006;31.40700365;153.5755406;3.669963505;6.523577922;0.361434296;0.366283649;155.4784309;-0.234153752;0.33755148;148.9581113;0.353985782;150.9373303;0.889374018;1.602346792;30.00494158;1177.94095;69.5;1.358057397;0.596667885;0.006524609;0.178039021;0.212430483;1178.014765;0.019372976;0.218945861;1124.088032;22808.9957;0.383364441;-0.237942197;1065.551783;33.00935044;0.126883678;0.000292487;0.034541966;1.331173154;0.489242473;6.60E-05;0.999981196;0.006524447;34.04006773;0.905717557;31.8093909;0.973048952;13.980523;0.423932145;1177.943396;0.123699539;1.016685846;0.00155027;0.268786338;1177.463604;0.01286532;19.80939328;0.006524068;-0.00954126;0.025213308;145.5687537;0.007991582
