Key;PET::Histogram::ih.entropy;PET::GLCM::cm.sum.avg;PET::Histogram::ih.qcod;PET::IVHistogram::ivh.I10minusI90;PET::NGTDM::ngt.busyness;PET::Intensity::stat.medad;PET::GLSZM::szm.lgze;PET::GLSZM::szm.lzhge;PET::Histogram::ih.mode;PET::Intensity::stat.max;PET::GLSZM::szm.sze;PET::GLDZM::dzm.zd.entr;PET::GLSZM::szm.szhge;PET::Histogram::ih.min.grad;PET::GLCM::cm.dissimilarity;PET::GLDZM::dzm.sdhge;PET::GLDZM::dzm.lgze;PET::Intensity::loc.peak.global;PET::Intensity::stat.energy;PET::GLRLM::rlm.srhge;PET::NGLDM::ngl.glnu.norm;PET::NGLDM::ngl.hdlge;PET::GLRLM::rlm.rlnu.norm;PET::GLDZM::dzm.zdnu;PET::NGLDM::ngl.lde;PET::GLSZM::szm.lze;PET::NGLDM::ngl.glnu;PET::NGLDM::ngl.dc.var;PET::GLRLM::rlm.glnu.norm;PET::GLRLM::rlm.glnu;PET::Histogram::ih.kurt;PET::GLRLM::rlm.lre;PET::Intensity::stat.P90;PET::GLSZM::szm.z.perc;PET::IVHistogram::ivh.I90;PET::GLDZM::dzm.lde;PET::GLDZM::dzm.ldlge;PET::GLCM::cm.contrast;PET::Histogram::ih.cov;PET::GLCM::cm.auto.corr;PET::GLRLM::rlm.rl.entr;PET::Histogram::ih.medad;PET::Intensity::stat.median;PET::GLCM::cm.energy;PET::GLRLM::rlm.rl.var;PET::NGLDM::ngl.hde;PET::GLSZM::szm.zs.entr;PET::GLCM::cm.inv.diff.mom;PET::IVHistogram::ivh.V10;PET::GLRLM::rlm.lgre;PET::GLCM::cm.inv.diff.norm;PET::NGLDM::ngl.hdhge;PET::GLRLM::rlm.srlge;PET::GLRLM::rlm.sre;PET::GLCM::cm.clust.prom;PET::GLCM::cm.joint.entr;PET::GLSZM::szm.szlge;PET::GLCM::cm.info.corr.2;PET::GLRLM::rlm.rlnu;PET::Histogram::ih.max;PET::GLCM::cm.inv.diff.mom.norm;PET::NGTDM::ntg.complexity;PET::Histogram::ih.skew;PET::Intensity::stat.var;PET::GLCM::cm.clust.shade;PET::GLSZM::szm.zs.var;PET::Morphological::morph.area;PET::GLSZM::szm.lzlge;PET::NGLDM::ngl.dc.entr;PET::Morphological::morph.approx.vol;PET::Morphological::morph.vol;PET::Intensity::stat.qcod;PET::Intensity::stat.rms;PET::Intensity::stat.range;PET::GLCM::cm.diff.entr;PET::GLCM::cm.sum.var;PET::Morphological::morph.a.dens.aabb;PET::Intensity::stat.sum;PET::GLSZM::szm.glnu;PET::Intensity::loc.peak.local;PET::GLRLM::rlm.gl.var;PET::NGTDM::ngt.strength;PET::Histogram::ih.min;PET::Morphological::morph.asphericity;PET::GLSZM::szm.glnu.norm;PET::GLDZM::dzm.zd.var;PET::Morphological::morph.sphericity;PET::GLSZM::szm.zsnu;PET::IVHistogram::ivh.I10;PET::Intensity::stat.rmad;PET::Intensity::stat.iqr;PET::Histogram::ih.mad;PET::GLSZM::szm.gl.var;PET::GLCM::cm.diff.avg;PET::GLCM::cm.sum.entr;PET::Intensity::stat.skew;PET::GLCM::cm.inv.diff;PET::GLDZM::dzm.gl.var;PET::Intensity::stat.kurt;PET::Histogram::ih.rmad;PET::Histogram::ih.var;PET::GLDZM::dzm.sde;PET::NGLDM::ngl.gl.var;PET::Intensity::stat.P10;PET::Intensity::stat.mean;PET::Histogram::ih.median;PET::GLRLM::rlm.hgre;PET::Histogram::ih.max.grad;PET::Morphological::morph.com;PET::Morphological::morph.v.dens.aabb;PET::GLRLM::rlm.lrlge;PET::GLDZM::dzm.zdnu.norm;PET::GLDZM::dzm.z.perc;PET::GLRLM::rlm.lrhge;PET::IVHistogram::ivh.V90;PET::GLSZM::szm.zsnu.norm;PET::GLSZM::szm.hgze;PET::GLDZM::dzm.ldhge;PET::Intensity::stat.cov;PET::GLCM::cm.info.corr.1;PET::GLDZM::dzm.hgze;PET::Histogram::ih.mean;PET::Morphological::morph.av;PET::GLDZM::dzm.glnu.norm;PET::Morphological::morph.comp.1;PET::Morphological::morph.sph.dispr;PET::Intensity::stat.mad;PET::NGLDM::ngl.dc.energy;PET::GLRLM::rlm.r.perc;PET::NGLDM::ngl.lgce;PET::GLCM::cm.joint.avg;PET::GLCM::cm.corr;PET::Histogram::ih.min.grad.gl;PET::IVHistogram::ivh.V10minusV90;PET::GLCM::cm.diff.var;PET::Morphological::morph.comp.2;PET::NGLDM::ngl.hgce;PET::NGTDM::ngt.contrast;PET::GLDZM::dzm.glnu;PET::NGTDM::ngt.coarseness;PET::GLCM::cm.inv.var;PET::NGLDM::ngl.ldhge;PET::GLDZM::dzm.sdlge;PET::Histogram::ih.max.grad.gl;PET::NGLDM::ngl.ldlge;PET::Intensity::stat.min;PET::Histogram::ih.uniformity;PET::GLCM::cm.joint.var;PET::GLCM::cm.joint.max
14;4.904168777;56.31936445;3.457384871;17.45000026;0.132806854;1.338146111;0.003960107;486768.8923;-0.147030324;4.166416645;0.429906473;10.02236781;540.3085948;-98.5;2.683882003;148.8495944;0.137447007;3.087911306;12775.08459;640.2555238;0.00012828;0.040874706;0.999961447;205.5846154;0.999624107;605.4625;1.023806541;0.000500939;0.000128276;13.30875847;7.779687948;1.000057831;1.605371952;0.130309485;14.65939383;18.31346154;0.155652775;17.14823722;0.307683079;857.2487109;12.93883832;5.74378246;-0.147030324;0.004988256;1.93E-05;1.001503571;8.23392614;0.362312479;0.990602681;0.040873867;0.976057291;641.6870775;0.040873852;0.999985542;777669.4175;8.58745849;0.002568864;0.954372282;103747.0001;83.1174469;0.99850378;4386.345522;1.626743199;0.181930388;7499.004485;546.5716346;9691.831945;0.817492522;12.93870328;63848;63631.66667;0.173307841;1.265182677;4.313446969;3.036503005;274.2721487;0.72805228;9506.295095;26.10192308;3.023603056;72.77265106;14.25317977;-2.933164597;0.257398346;0.025098003;6.384408284;0.795292918;199.5480769;32.10939409;0.172588416;0.402684152;26.37535472;211.2129307;2.683882003;5.869078581;1.62895472;0.434995729;213.1964137;7.791134545;0.172588416;71.93985449;0.428036845;72.77215322;0.732268095;1.191115787;23.48297191;640.269103;84;0.83370433;0.617543349;0.040873929;0.197677515;0.130309485;640.32342;0.001378273;0.191873151;1082.825;34056.92873;0.358095318;-0.24674976;879.1457536;27.5664705;0.152311458;0.000961538;0.03762613;1.257398346;0.288229677;0.00012828;0.999980723;0.040873102;28.15968223;0.882312714;27.06683514;0.989224408;9.945014342;0.503015475;640.2748634;0.02801005;1;0.00271752;0.336947967;639.9218099;0.136159315;22.06683707;0.040872701;-0.147030324;0.044032642;72.85509649;0.017701486
17;4.833520882;59.21284859;3.368693894;17.00000025;0.637154439;1.411497605;0.002304507;4531085.098;-0.225676745;3.327984571;0.401994266;11.63637976;375.4822969;-315.5;2.319859863;128.8614445;0.017839296;2.999557875;48807.59356;619.0946762;3.85E-05;1.609271123;0.999917061;652.2982126;0.999191349;5097.023518;1.214815754;0.001077039;3.85E-05;15.79082759;3.409738175;1.000124413;1.605309963;0.10112894;15.13646546;20.87613672;0.037679673;11.19841378;0.257588242;925.6001119;14.74127983;5.380942857;-0.225676745;0.005585135;4.15E-05;1.003234604;8.358766133;0.388362728;0.998985222;1.609331311;0.975759597;620.9694244;1.609331248;0.999968897;287095.8984;8.393279395;0.001164466;0.955015614;409891.0014;66.50617218;0.998660071;2870.725226;0.988902642;0.141605687;3313.496881;4999.243533;29948.21834;5.939114846;14.74141884;252272;251992.3333;0.16857023;1.24409678;3.553661317;2.864418874;207.4373246;0.780389263;37393.67499;98.00783945;2.969700608;56.64372549;1.975777894;-4.509905815;0.552251117;0.030733095;8.847920803;0.64422566;563.7061775;32.13646571;0.166384468;0.39243412;27.86843812;118.6332056;2.319859863;5.760221501;0.993186755;0.457912144;119.935266;3.43278865;0.166384468;56.01078721;0.448636977;56.64227312;0.756077528;1.18582086;23.29598298;619.1125493;304;1.221598016;0.493081645;1.609331562;0.204546319;0.10112894;619.1840416;0.002536944;0.176765813;922.5841957;30486.24196;0.317337402;-0.253001629;649.9123433;29.05425898;0.118845752;0.000316921;0.027431901;1.552251117;0.269910059;3.85E-05;0.999958531;1.60926458;29.6064243;0.897560995;25.49009307;0.996448278;5.816663847;0.26737085;619.1107009;0.027286697;1.010661649;0.000679835;0.352402981;618.64602;0.016755478;20.49009434;1.609262944;-0.225676745;0.045432904;54.65893459;0.017485809
35;5.21977942;47.34472569;3.777732912;25.40000038;0.159157128;1.093116063;0.006162891;76059.45914;0.398439646;3.252292395;0.393344034;10.08511514;263.6529905;-39;3.459172673;229.5687083;0.001637701;2.892200315;14105.12056;990.1804304;0.000181291;0.001589069;1;217.1652893;1;180.8503214;1.032994033;2.47E-27;0.000181291;13.42892243;0.788402904;1;2.210405827;0.191119691;18.86879296;12.21763085;0.009336507;23.39232151;0.43837569;647.5316993;12.44368291;7.480264391;0.398439646;0.002831594;2.47E-27;1;8.07614498;0.292323918;0.973674974;0.001589069;0.95858989;990.1804237;0.001589069;1;504761.9797;9.332636157;0.002474405;0.945556735;74074;64.9808197;0.996132069;2219.300984;0.870535487;0.250712702;6004.086409;153.473114;7184.214837;0.60098091;12.44368291;45584;45418.66667;0.189075665;1.573356645;2.853852749;3.370101968;371.996024;0.778186183;8498.884427;27.76951331;2.729591313;100.2850787;5.344517449;7.960826397;0.167003789;0.025500012;3.599173975;0.856895247;200.2304867;44.26879334;0.246452942;0.549537778;21.20956743;134.5699681;3.459172673;6.187003957;0.87369675;0.374410735;136.0657716;0.79272321;0.246452942;99.03475089;0.409889736;100.2850776;0.942234933;1.491555709;27.78728957;990.1804304;71.5;0.142610226;0.759001783;0.001589069;0.199417162;0.191119691;990.1804304;0.01000351;0.183866379;713.9247016;22328.73078;0.33569795;-0.214731127;1109.792184;22.70112314;0.158177581;0.000926706;0.042081429;1.167003789;0.38339525;0.000181291;1;0.001589069;23.67236284;0.881674198;26.96082799;0.963671464;11.42644569;0.629192014;990.1804237;0.09739045;1.009182736;0.003919698;0.278858411;990.1804237;0.001082897;22.9608268;0.001589069;0.398439646;0.034069888;98.84708638;0.011981831
43;5.759829852;57.08425034;5.639179153;43.65000065;0.049521142;1.298367502;0.00715044;9634.35169;0.344405234;4.643722057;0.588945182;9.642051693;879.6554646;-16.5;6.587290239;315.9803443;0.001676433;3.757849141;6819.890661;1370.143741;0.000503269;0.00199;1;188.3566959;1;16.14142678;1.002009041;2.63E-28;0.000503269;13.02611753;1.309277612;1;2.887347937;0.401305876;14.13810468;7.71339174;0.005240004;86.46654803;0.632050749;1069.741473;10.95726847;12.0938101;0.344405234;0.001253098;2.63E-28;1;7.740718337;0.195201671;0.860873933;0.00199;0.943970931;1370.143738;0.00199;1;4683294.59;10.58859158;0.003087863;0.941543363;25883;92.01012421;0.99243496;8917.67085;1.2111921;0.726657188;38935.46294;9.932036605;3501.563854;0.125216102;10.95726847;15928;15813;0.284607597;1.850772662;4.299316823;4.238620871;1106.820894;0.868443416;3270.760516;13.98873592;3.544700952;290.6628654;35.80633567;6.824001789;0.149304425;0.017507805;1.701996081;0.870091491;265.0175219;57.78810533;0.396827832;0.874695659;24.96345549;340.3568917;6.587290239;6.844450498;1.210704266;0.277017802;350.177835;1.30506964;0.396827832;282.7942177;0.42200146;290.6628664;0.705856502;1.642772735;28.99011083;1370.143741;19.5;0.902849007;0.916801948;0.00199;0.235740546;0.401305876;1370.143741;0.017579106;0.331686511;1313.968711;24332.95653;0.518904337;-0.186354679;1757.271151;26.60622823;0.221435771;0.001251564;0.043057247;1.149304425;0.638115912;0.000503269;1;0.00199;28.54212517;0.855078425;29.82400237;0.843294827;43.07415655;0.65871077;1370.143738;0.222127369;1;0.009137196;0.190835476;1370.143738;0.001223975;22.824002;0.00199;0.344405234;0.023796941;298.3218605;0.006491149
51;5.330794716;45.74161846;4.069725436;28.10000042;0.097246729;1.053469158;0.005401211;40849.23378;0.50862205;4.981779575;0.527274193;10.60069966;708.8237271;-49.5;4.164728842;222.6188446;0.001222728;4.042582436;18370.92741;1141.939552;0.000160906;0.00147238;0.999952185;235.2247913;0.9995338;111.0719332;1.035431235;0.000621214;0.000160899;13.45970856;4.456534765;1.000071725;2.368796825;0.241958042;19.32244099;18.16441875;0.012858172;39.9802408;0.583245538;672.2145675;12.61704089;8.5633396;0.50862205;0.002683171;2.39E-05;1.001864802;8.121450619;0.27777712;0.903807304;0.001469336;0.964748873;1143.083812;0.001469306;0.999982069;2852127.357;9.632268446;0.002631292;0.943966297;83649.0001;99.21401978;0.99672496;7858.627019;1.872856371;0.414716031;29053.8462;93.99067581;7723.221646;0.466037672;12.61687367;51480;51303.66667;0.204350901;1.68962865;4.473157525;3.617010473;636.5428388;0.754220864;10052.05692;31.54078356;4.042582436;165.8893685;19.89608543;10.12940025;0.156685889;0.020257408;4.856214853;0.864538947;417.1567116;47.42244141;0.262974913;0.600076437;20.32741931;289.5307594;4.164728842;6.326350829;1.872972315;0.358395368;294.1075982;4.453170332;0.262974913;162.9952509;0.312386869;165.8864076;0.96561873;1.562091208;27.75680541;1141.95057;55;0.854782609;0.728745265;0.001469453;0.151075653;0.241958042;1141.994642;0.002020202;0.267923386;1089.581246;47116.34984;0.412257935;-0.206415799;1715.334899;21.88951052;0.15053937;0.000646386;0.042645746;1.156685889;0.456288343;0.000160906;0.999976092;0.001469339;22.87080923;0.88180672;30.12940066;0.901787102;22.63527437;0.646180262;1141.937955;0.078551914;1.006422608;0.003259924;0.267267829;1141.651491;0.000682748;21.12940148;0.001468579;0.50862205;0.033399877;169.1307699;0.009540641
52;5.377286948;65.29870121;4.587891785;28.45000042;0.204696355;1.543617903;0.002909199;72311.12013;0.165141299;3.185899734;0.440523789;10.56246181;479.7648632;-53.5;4.044669906;335.8494341;0.00187235;2.714007292;19319.46698;1219.258671;0.000162508;0.001507941;0.999975726;358.9405941;0.999763332;63.62508251;1.029977911;0.000315457;0.000162505;13.38925637;-0.445780298;1.000036411;2.47481823;0.239034396;21.09763652;8.582178218;0.007029192;32.63603707;0.342307859;1163.847244;12.59991898;8.717459559;0.114881814;0.001955429;1.21E-05;1.000946671;8.062007125;0.271588038;0.993057747;0.00150737;0.954440689;1220.818206;0.001507364;0.999990897;444761.8284;9.6976416;0.001265722;0.937184762;82391.00002;63.38902283;0.995142705;3075.005121;0.28048559;0.297574806;1902.210014;46.12342544;8314.567533;0.086845715;12.59983403;50704;50509.33333;0.230585082;1.745908393;3.071017921;3.583632129;424.1047556;0.799477647;10511.5712;36.89438944;2.609821344;119.0307429;3.682257053;2.285773754;0.25827176;0.024352732;2.370074394;0.794740875;318.1986799;49.54763694;0.320736811;0.768718243;29.86579802;130.1365497;4.044669906;6.328648578;0.281290618;0.353660199;132.752645;-0.447169539;0.320736811;116.4460016;0.460470791;119.029919;1.052563548;1.658499716;31.00870745;1219.273477;46;0.321346905;0.751626984;0.001507392;0.236924485;0.239034396;1219.3327;0.006468918;0.210032132;1095.684488;15154.65063;0.328914242;-0.195922236;1202.33424;31.52429774;0.164614478;0.00066268;0.03758696;1.25827176;0.445577482;0.000162508;0.999987863;0.001507359;32.6493506;0.857091648;29.28577168;0.986588829;16.27668289;0.501968715;1219.27841;0.141482557;1.003960396;0.002761483;0.256954202;1218.893461;0.00142081;21.28577405;0.001507214;0.114881814;0.028544412;114.1851982;0.008270667
55;6.36654622;104.4089108;6.605895317;55.40000083;0.089319686;2.4832616;0.001041495;30664.54817;0.062587567;6.301519394;0.623942595;12.36184168;1984.437537;-27;7.015193696;432.8737864;0.004045259;5.463644113;86086.31538;2958.044709;8.93E-05;0.00231605;0.999960352;807.0454287;0.999613435;11.32595116;1.039687312;0.000515154;8.93E-05;13.51519196;-0.269338279;1.000059473;4.000636578;0.453826991;24.64634451;16.3518834;0.008717932;89.13706228;0.426454104;3130.875824;13.46780647;17.64662746;0.012317208;0.000502552;1.98E-05;1.001546259;8.291108836;0.162568347;0.99080835;0.002314578;0.955416278;2960.371768;0.002314564;0.999985132;7905188.606;11.4923619;0.000737736;0.958217154;151324.0001;125.3525848;0.995832024;19858.33967;0.537486558;1.167182661;33712.32732;6.470614531;12297.8227;0.009848242;13.4676679;93128;92890.66667;0.332080735;2.719392624;6.289202186;4.309761427;1711.419743;0.75428255;29051.0329;71.11205754;5.462882414;466.8762617;13.22935399;0.245019287;0.239831643;0.013460545;4.477251792;0.806561121;1936.13004;80.04634534;0.66459564;1.638857245;47.73447005;457.2904241;7.015193696;7.341400876;0.53791148;0.247974336;465.3027273;-0.268514914;0.66459564;458.8511214;0.311039811;466.8730506;1.229851961;2.495578807;46.01586012;2958.067146;41.5;1.338160234;0.676651127;0.002314636;0.152762721;0.453826991;2958.156892;0.003779744;0.366483066;3115.792731;78831.00407;0.432910505;-0.196424901;3091.94177;50.23004885;0.132390294;0.000192439;0.038428621;1.239831643;0.896660239;8.93E-05;0.999980176;0.002314551;52.20445539;0.900989447;70.2450186;0.987028606;39.92411984;0.52470095;2958.03841;0.18707163;1.016657202;0.002139306;0.159705218;2957.45507;0.003745114;31.24501956;0.002314177;0.012317208;0.013885123;450.1392014;0.002079439
58;5.790079101;68.49531802;5.72920435;38.55000057;0.145296309;1.618353965;0.002333452;53931.91242;0.216396168;4.856855869;0.463537454;11.68703819;675.6681516;-87.5;4.39841912;213.6283809;0.001263795;4.331428353;48337.75299;1590.523675;8.58E-05;0.001288343;0.999974688;483.5654545;0.999753208;58.5830303;1.043270813;0.000328947;8.58E-05;13.56204675;0.575217314;1.000037968;2.958743572;0.271470879;20.67792354;19.09454545;0.009800714;35.99678427;0.468066162;1393.910351;13.52671071;11.98973897;0.216396168;0.00142988;1.27E-05;1.000987167;8.472017884;0.238228569;0.982230997;0.001288073;0.963339722;1594.026035;0.00128807;0.999990508;2908485.579;10.26238398;0.000977236;0.96692877;158022.0001;96.44034576;0.997165606;7506.977731;0.949524182;0.610144153;24946.99003;45.01385373;12339.02352;0.110855575;13.52662229;97248;97026;0.288529869;1.994104361;4.640459701;3.67875339;920.0295813;0.774675007;22303.22262;63.6430303;4.224922925;244.0544041;8.852585903;4.296878815;0.208382932;0.019285767;5.251635996;0.827552238;747.4387879;59.22792411;0.440371211;1.034820437;31.15282781;255.452907;4.39841912;6.786710984;0.950082993;0.324950908;261.2245011;0.576528332;0.440371211;238.4049951;0.304309443;244.057654;1.031454802;1.834750133;31.73187568;1590.556802;84.5;0.328369076;0.726329501;0.001288084;0.146534986;0.271470879;1590.689311;0.005593945;0.226496602;1456.894545;59094.58654;0.425734945;-0.234989289;1734.416206;32.98757794;0.127172341;0.000306703;0.039938523;1.208382932;0.629230469;8.58E-05;0.999987344;0.00128806;34.24765901;0.924694997;31.29687906;0.976637052;16.65069344;0.566743114;1590.580834;0.110590996;1.012121212;0.002174413;0.232278484;1589.719534;0.000762284;23.29687906;0.00128799;0.216396168;0.022888773;239.0065914;0.006147824
